word,gender,nationality
asha devi,f,indian
jyoti,f,indian
shoba,f,indian
kamlesh,f,indian
neelam,f,indian
kali devi,f,indian
aarti,f,indian
heena,f,indian
pabu devi,f,indian
rajbala,f,indian
kiran,f,indian
renu,f,indian
smt aarti,f,indian
sarmila,f,indian
sanju,f,indian
lalita devi,f,indian
kumari shima devi,f,indian
geeta devi,f,indian
anjuman bano,f,indian
chandra kala,f,indian
renu,f,indian
aishwarya,f,indian
smt versha,f,indian
"shakuntala@pooja, divya 2 sal,  diya 5 sal",f,indian
prem bai,f,indian
premlata,f,indian
radhika,f,indian
sheetal,f,indian
supna @ wahida,f,indian
divy puri,f,indian
rinku d/o harvir singh,f,indian
manju,f,indian
geeta,f,indian
sira bano,f,indian
pooja,f,indian
smts. rekha,f,indian
baljeet kaur,f,indian
riju,f,indian
bhawana,f,indian
annu,f,indian
batloon w/o garib ulla,f,indian
deou,f,indian
rabhida,f,indian
km. kajal,f,indian
monika,f,indian
manju,f,indian
saveroon,f,indian
japneet kaur,f,indian
smt. vimla devi,f,indian
sunita,f,indian
beena,f,indian
rinki,f,indian
preeti,f,indian
renu gupta,f,indian
savita,f,indian
sajiya,f,indian
anju devi,f,indian
suman,f,indian
vikki kumari,f,indian
farah khan,f,indian
anu,f,indian
km.soniya,f,indian
anju,f,indian
munni,f,indian
neha parveen,gender,race
sapna,f,indian
manisha  aamliya,f,indian
archana kumari,f,indian
usha devi,f,indian
sangeta,f,indian
shilpi,f,indian
farah,f,indian
anita,f,indian
aman,f,indian
rupa,f,indian
heena,f,indian
ranjit kaur,f,indian
neelam,f,indian
susmita,f,indian
renu,f,indian
kavita,f,indian
priti,f,indian
priti kaur,f,indian
pushpa,f,indian
rashmi,f,indian
shanah bano,f,indian
sushila,f,indian
pooja,f,indian
sadhna @ sabi,f,indian
neelam,f,indian
manju,f,indian
sita,f,indian
sunita verma,f,indian
smt shasi,f,indian
pushapa,f,indian
depali kurmi,f,indian
sona,f,indian
manju kumari kalbi,f,indian
yashodha devi,f,indian
diksha rani,f,indian
manju bai  bagri,f,indian
smt. hemlata,f,indian
sabbo,f,indian
twinkle,f,indian
neha,f,indian
smt. shakuntala,f,indian
neha,f,indian
madhu,f,indian
lata @ neha,f,indian
pooja,f,indian
madhu,f,indian
rekha,f,indian
sandhya,f,indian
reena,f,indian
sonia,f,indian
manisha,f,indian
nisha,f,indian
shahzadi,f,indian
swati singh,f,indian
seema setiya,f,indian
rehana praveen,f,indian
kushum,f,indian
kavit goyar,f,indian
pushpa rani,f,indian
sngeeta,f,indian
smt. sangeeta  urf sonu,f,indian
geeta,f,indian
sangita,f,indian
aishe banu,f,indian
nisha kandwal,f,indian
rinki,f,indian
upasna,f,indian
kumari kanta @ kajal,f,indian
suman,f,indian
aarati,f,indian
kavita,f,indian
sarita devi,f,indian
geetu,f,indian
komal,f,indian
begam d/o,f,indian
manisha,f,indian
durga devi,f,indian
manisha,f,indian
smt aasha,f,indian
deepika,f,indian
bhopal singh,f,indian
kamla,f,indian
smt sushma devi,f,indian
jyoti,f,indian
chander kanta,f,indian
maya devi,f,indian
taran devi,f,indian
mayuri,f,indian
priya,f,indian
pooja,f,indian
rubina,f,indian
sapna,f,indian
meenu,f,indian
munni devi,f,indian
kiran,f,indian
susila rawat or arti rawat,f,indian
parwati meena,f,indian
rakhi chauhan,f,indian
mis pushpa rajput,f,indian
km. neha,f,indian
km. menakshi,f,indian
arvinder kaur w/o,f,indian
priya mishra,f,indian
smt aruna,f,indian
ritu,f,indian
anjana kumari,f,indian
sana,f,indian
mena,f,indian
afsana,f,indian
neelam,f,indian
arti,f,indian
neha,f,indian
payal,f,indian
sarwitavm,f,indian
areen momin,f,indian
anil kumari,f,indian
ganga,f,indian
durga,f,indian
geeta rani,f,indian
hema ( with child 11 year akash ).,f,indian
sapna,f,indian
monika,f,indian
komal,f,indian
archana,f,indian
praveen,f,indian
seema,f,indian
monika,f,indian
anam beg,f,indian
anjali juneja,f,indian
varsha,f,indian
tarannum,f,indian
mamta,f,indian
gulnaj,f,indian
payal,f,indian
kajal kanwar,f,indian
saloni,f,indian
annu,f,indian
lali @ deepa,f,indian
rinki,f,indian
liladevi,f,indian
habiba,f,indian
sapna,f,indian
priyanka,f,indian
meera,f,indian
smt. teena gameti,f,indian
sunita,f,indian
nisha,f,indian
kesha,f,indian
smt indu devi,f,indian
neelachal,f,indian
vandana,f,indian
kiran,f,indian
khushabu,f,indian
smt. munni,f,indian
philomina,f,indian
sheetal,f,indian
veena tandan,f,indian
sobha kumari,f,indian
miraz,f,indian
sahar bano,f,indian
antima,f,indian
manju,f,indian
amirul nisha,f,indian
monika,f,indian
poonam,f,indian
priya,f,indian
neetu,f,indian
annu,f,indian
geeta devi,f,indian
neetu sharma,f,indian
komal,f,indian
rekha,f,indian
sumitra devi,f,indian
neha,f,indian
kali charan,f,indian
megha,f,indian
rubina,f,indian
rani,f,indian
mahvish,f,indian
nisha @ neeshu,f,indian
urmila,f,indian
smt puja,f,indian
miss geeta salvi,f,indian
poonam,f,indian
sweta,f,indian
km. ushman,f,indian
seeriya bibi,f,indian
kumari arti,f,indian
smt manju,f,indian
firdosh bano @ asha,f,indian
khusbu,f,indian
savita,f,indian
pooja,f,indian
munna,f,indian
smt. mohani devi,f,indian
kavita,f,indian
guddi with her son  anand,f,indian
kajal @ payal,f,indian
akansha,f,indian
bimla devi ( with 5 years child subham ),f,indian
neetu,f,indian
sakshi dikshit,f,indian
santosh,f,indian
rani,f,indian
rekha,f,indian
sunita devi,f,indian
rekha,f,indian
komal,f,indian
sharda,f,indian
smt.beena chouhan,f,indian
anita,f,indian
alka,f,indian
ram wati,f,indian
asmin,f,indian
poonam devi,f,indian
jyoti,f,indian
nikki kumari,f,indian
tajmaha,f,indian
santosh devi,f,indian
manisha,f,indian
sonia,f,indian
mira devi,f,indian
sheela jain,f,indian
daveena,f,indian
deep kaur,f,indian
kavita,f,indian
rukhsar,f,indian
km puja,f,indian
kamlesh,f,indian
kanchan,f,indian
vandna,f,indian
ritu,f,indian
pooja prajapati @ pratibha,f,indian
seema,f,indian
farida,f,indian
rehana,f,indian
pooja,f,indian
priyanka @ khushboo,f,indian
mamta,f,indian
gango devi,f,indian
musra khatoon,f,indian
diya sharma,f,indian
ranjana,f,indian
kanta,f,indian
nisha,f,indian
sonu,f,indian
shetal,f,indian
nisha @ unknown,f,indian
km- pooja,f,indian
suman,f,indian
seeta,f,indian
sapna,f,indian
kumari kamlesh,f,indian
shabina,f,indian
miss nilofer,f,indian
palvi sharma,f,indian
pushpa,f,indian
sapna,f,indian
gagan @ mamta,f,indian
razia,f,indian
smt neeraj deve,f,indian
bharti,f,indian
sarsawati devi,f,indian
tamana banu,f,indian
jyoti @ punima,f,indian
anju,f,indian
rinku,f,indian
minaxi chakma,f,indian
madhu kumari,f,indian
reena gupta,f,indian
pooja,f,indian
pooja,f,indian
deepanshi jain,f,indian
rekha,f,indian
gudiya,f,indian
shivani,f,indian
santosh,f,indian
divya,f,indian
pushpa tejshri,f,indian
farhin,f,indian
soniya,f,indian
sangeeta,f,indian
smt. urmila,f,indian
rizwana,f,indian
sapna,f,indian
sonia,f,indian
arti kumari sahu,f,indian
monika nath,f,indian
rajinder kaur @ raju,f,indian
kajol,f,indian
rampati gujar,f,indian
kumari tena pawar,f,indian
preety,f,indian
fareen,f,indian
priyanka,f,indian
pinki,f,indian
pushpa,f,indian
priya,f,indian
kumari deepa,f,indian
anita,f,indian
smt kamala,f,indian
manju,f,indian
lakshmi,f,indian
usha,f,indian
anita kumari,f,indian
vidya devi,f,indian
heena,f,indian
sarah wells,f,indian
soni,f,indian
laxmi,f,indian
kamlesh,f,indian
sikha,f,indian
sarabjit kaur,f,indian
gyatri,f,indian
saroj,f,indian
anju tomar,f,indian
reshma,f,indian
pooja,f,indian
jyoti,f,indian
seema kumari,f,indian
smt monika,f,indian
sangeeta,f,indian
seema,f,indian
manju roy,f,indian
harana,f,indian
manisha,f,indian
smt taravaati,f,indian
poonam,f,indian
deepti bhargav,f,indian
nisha,f,indian
smt. mamta davi w/o mahesh regar,f,indian
pooja,f,indian
beena,f,indian
jenifer,f,indian
deepti,f,indian
maya kumari,f,indian
lalita,f,indian
reena jain,f,indian
geeta devi,f,indian
smt. durga,f,indian
lalita,f,indian
sunita kumari,f,indian
smt sanju,f,indian
shehnaz @ ravina,f,indian
kumari radha,f,indian
kamlesh,f,indian
jyoti,f,indian
shakuntala devi,f,indian
saroj pandey,f,indian
pammy kumari,f,indian
rita rani,f,indian
pooja,f,indian
sunita,f,indian
ishrana,f,indian
bhawana,f,indian
jyoti,f,indian
ishika,f,indian
asha,f,indian
bharti,f,indian
aarti,f,indian
nikky singh,f,indian
moni,f,indian
heena praveen,f,indian
seeta bai,f,indian
noorjahan,f,indian
shalu,f,indian
neha singh,f,indian
monika,f,indian
vasu nanoma,f,indian
chand mundari@geeta,f,indian
anju,f,indian
monika,f,indian
sheelu,f,indian
roshni,f,indian
prameela,f,indian
rita,f,indian
rama sharma,f,indian
lalita,f,indian
bindu,f,indian
pooja,f,indian
sangeeta,f,indian
shashi,f,indian
pooja,f,indian
sunita,f,indian
tannu,f,indian
jhoti,f,indian
rupa verma,f,indian
pharjana,f,indian
geeta,f,indian
manisha,f,indian
gulfasa,f,indian
humera,f,indian
sunita,f,indian
gauri,f,indian
sunita,f,indian
munni,f,indian
resham,f,indian
deepa chauhan,f,indian
guddi,f,indian
mamta,f,indian
ruksana,f,indian
suman singh chauhan,f,indian
jyoti,f,indian
amrita kashmira,f,indian
neraj @ pooja,f,indian
gora,f,indian
anjli,f,indian
smts. manju,f,indian
smt geeta,f,indian
kajal,f,indian
laxmi,f,indian
smt radha,f,indian
minakshi sharma,f,indian
shneha,f,indian
siya kandwal,f,indian
laxmi,f,indian
smt rupi rawat,f,indian
sukhdevi,f,indian
priyanka,f,indian
komal,f,indian
sonia,f,indian
sonu,f,indian
bharti,f,indian
sony,f,indian
anita @ manju,f,indian
shahnaz khatum,f,indian
shobha,f,indian
poneem,f,indian
veermati,f,indian
kamla,f,indian
manju devi,f,indian
vinita,f,indian
anuradha,f,indian
mandira devi,f,indian
alka,f,indian
ruksana khatoon with her son rahis age- 6 month,f,indian
nisha hajra,f,indian
devi,f,indian
ramdulari @ gulabu,f,indian
suman,f,indian
manisha,f,indian
ritu,f,indian
nisha@neelam,f,indian
smt. pushpa,f,indian
manisha @ jyoti,f,indian
sakshi,f,indian
roshni khan,f,indian
neelu,f,indian
smt. hemlata,f,indian
shabana begam,f,indian
rina @ moti,f,indian
prachi,f,indian
laxmi,f,indian
manju,f,indian
sunita,f,indian
munna kawar,f,indian
jyotsana @ jyoti,f,indian
pushpa,f,indian
heena,f,indian
nisha,f,indian
rukhsana,f,indian
smt ritu devi,f,indian
pushpa devi,f,indian
suman,f,indian
chanchal,f,indian
moona,f,indian
sangita,f,indian
rani,f,indian
reenu,f,indian
sunita,f,indian
meenu,f,indian
khusbu,f,indian
sitara,f,indian
anil sharma,f,indian
rekha,f,indian
mala,f,indian
smt  neelam,f,indian
meena,f,indian
bhawna sharma,f,indian
payal kumari,f,indian
sikha,f,indian
asha kaur,f,indian
anuu,f,indian
mohsina begum,f,indian
mehar jahan @ nargis,f,indian
kumari sunita,f,indian
sanjna,f,indian
arti,f,indian
kavita,f,indian
kamala,f,indian
parveen khatun,f,indian
asgari bagam,f,indian
sapita kumari,f,indian
anjana mahajan,f,indian
neha,f,indian
jyoti,f,indian
amri,f,indian
pooja,f,indian
kunti,f,indian
rani devi,f,indian
smt sarita,f,indian
kajal sharma,f,indian
annu sharma,f,indian
nagina,f,indian
suma,f,indian
sania,f,indian
ruchi kumari,f,indian
preeti with a madhuri,f,indian
aarti,f,indian
rajkumari  yadav,f,indian
sunita,f,indian
himani,f,indian
sonia,f,indian
mallika,f,indian
satish chander,f,indian
smt neelam,f,indian
bimla sunwar d/o,f,indian
anju,f,indian
anita,f,indian
priya,f,indian
shiwani sharma,f,indian
smt devendri devi,f,indian
renu,f,indian
smt. sahjadi,f,indian
puja salvi,f,indian
sonam,f,indian
reena,f,indian
phoolwati,f,indian
nootan,f,indian
monika,f,indian
ritu,f,indian
sushma,f,indian
reshma,f,indian
ragini,f,indian
kavita gochar,f,indian
